Hotels,Price,Reviews,Location

"1. ITC Mughal, a Luxury Collection Resort & Spa, Agra","₹28,910",4.5 of 5 bubbles,Agra
"2. Holiday Inn Agra Mg Road, an IHG Hotel","₹8,986",5 of 5 bubbles,Agra
"3. Howard Plaza The Fern, Agra","₹3,897",4 of 5 bubbles,Agra
"4. Taj Hotel & Convention Centre, Agra","₹12,390",4.5 of 5 bubbles,Agra
"5. Trident, Agra","₹11,210",4.5 of 5 bubbles,Agra
Hotel Clarks Shiraz,"₹5,913",4 of 5 bubbles,Agra
6. Hotel Taj Resorts,"₹5,319",4 of 5 bubbles,Agra
7. Hotel Clarks Shiraz,"₹4,457",4 of 5 bubbles,Agra
8. Ramada Plaza by Wyndham Agra,"₹8,114",4.5 of 5 bubbles,Agra
9. The Grand Imperial,"₹8,968",4 of 5 bubbles,Agra
"10. Tajview, Agra-IHCL SeleQtions","₹10,030",4 of 5 bubbles,Agra
"Taj Hotel & Convention Centre, Agra","₹12,390",4.5 of 5 bubbles,Agra
"11. Aman Homestay, A Boutique Hotel","₹3,136",5 of 5 bubbles,Agra
12. The PL Palace,"₹5,599",4.5 of 5 bubbles,Agra
13. Hotel Alleviate,"₹2,394",4 of 5 bubbles,Agra
14. Hotel Taj Inn,"₹2,711",4 of 5 bubbles,Agra
"15. Parador, A Boutique Hotel","₹2,693",4.5 of 5 bubbles,Agra
Hotel Alleviate,"₹2,394",4 of 5 bubbles,Agra
16. Hotel Taj Galaxy,"₹1,499",4 of 5 bubbles,Agra
17. Hotel Sidhartha,"₹1,386",3.5 of 5 bubbles,Agra
18. Dayal Lodge - A Boutique Hotel,"₹1,795",4.5 of 5 bubbles,Agra
19. Hotel Amar,"₹4,118",3.5 of 5 bubbles,Agra
20. Taj Villa,"₹3,830",4 of 5 bubbles,Agra
The Grand Imperial,"₹8,968",4 of 5 bubbles,Agra
21. The Retreat Hotel,"₹4,405",4 of 5 bubbles,Agra
22. Hotel Maple Grand,"₹3,360",4.5 of 5 bubbles,Agra
23. Su-Koon Homestay,₹709,4.5 of 5 bubbles,Agra
24. Aaram Baagh By Pachar Group Agra,"₹4,480",4.5 of 5 bubbles,Agra
25. Hotel Orange,"₹4,254",4 of 5 bubbles,Agra
"ITC Mughal, a Luxury Collection Resort & Spa, Agra","₹28,910",4.5 of 5 bubbles,Agra
26. Hotel Kamal,"₹1,312",3 of 5 bubbles,Agra
27. Hotel Taj Plaza,₹825,3 of 5 bubbles,Agra
28. OYO 10454 Hotel Riviera,₹931,3 of 5 bubbles,Agra
29. Sun Hotel Agra,"₹1,815",3 of 5 bubbles,Agra
30. The Oberoi Amarvilas,"₹88,500",5 of 5 bubbles,Agra
Ramada Plaza by Wyndham Agra,"₹8,114",4.5 of 5 bubbles,Agra
The Westin Mumbai Garden City,"₹21,240",4.5 of 5 bubbles,Mumbai
1. Goldfinch Hotel Mumbai,"₹7,560",4.5 of 5 bubbles,Mumbai
2. The Lalit Mumbai,"₹12,824",4.5 of 5 bubbles,Mumbai
3. Sahara Star Hotel,"₹15,635",4.5 of 5 bubbles,Mumbai
4. Ibis Mumbai Airport Hotel,"₹11,799",4 of 5 bubbles,Mumbai
"5. Taj Lands End, Mumbai","₹21,830",4.5 of 5 bubbles,Mumbai
"Taj Mahal Tower, Mumbai","₹22,396",4.5 of 5 bubbles,Mumbai
6. Ramada Plaza by Wyndham Palm Grove,"₹12,144",4 of 5 bubbles,Mumbai
7. The Leela Mumbai,"₹15,340",4.5 of 5 bubbles,Mumbai
8. The Orchid Mumbai Vile Parle,"₹18,289",4.5 of 5 bubbles,Mumbai
9. The Fern - Goregaon,"₹10,837",5 of 5 bubbles,Mumbai
"10. Taj Mahal Tower, Mumbai","₹20,717",4.5 of 5 bubbles,Mumbai
The Westin Mumbai Powai Lake,"₹17,700",4.5 of 5 bubbles,Mumbai
11. Ginger Mumbai Andheri East,"₹7,279",4.5 of 5 bubbles,Mumbai
"12. Lemon Tree Premier, Mumbai International Airport","₹11,011",4.5 of 5 bubbles,Mumbai
13. Niranta Airport Transit Hotel & Lounge,"₹15,638",4 of 5 bubbles,Mumbai
"14. TRIDENT, BANDRA KURLA","₹19,175",4.5 of 5 bubbles,Mumbai
15. Novotel Mumbai Juhu Beach,"₹14,160",4 of 5 bubbles,Mumbai
Ramada Plaza by Wyndham Palm Grove,"₹13,207",4 of 5 bubbles,Mumbai
16. Residency Sarovar Portico,"₹10,650",4.5 of 5 bubbles,Mumbai
17. Hilton Mumbai International Airport,"₹15,323",4.5 of 5 bubbles,Mumbai
18. Mirage Hotel,"₹6,302",4 of 5 bubbles,Mumbai
19. Trident Hotel,"₹21,830",4.5 of 5 bubbles,Mumbai
20. Ascot Hotel,₹589,4 of 5 bubbles,Mumbai
"Lakeside Chalet, Mumbai - Marriott Executive Apartments","₹15,340",4.5 of 5 bubbles,Mumbai
"21. Ginger Mumbai, Goregaon","₹4,050",4.5 of 5 bubbles,Mumbai
22. Meluha The Fern Mumbai,"₹15,299",4.5 of 5 bubbles,Mumbai
23. The Shalimar Hotel,"₹5,840",4.5 of 5 bubbles,Mumbai
"24. Hotel BKC Crown - Near Trade Centre, Visa Consulate","₹4,284",5 of 5 bubbles,Mumbai
25. Hotel Accord,"₹3,529",4 of 5 bubbles,Mumbai
"InterContinental Marine Drive-Mumbai, an IHG Hotel","₹21,803",4.5 of 5 bubbles,Mumbai
26. Krishna Palace Hotel,"₹10,831",4 of 5 bubbles,Mumbai
27. Hotel Cliffton,"₹3,126",4.5 of 5 bubbles,Mumbai
28. Hotel Apex International,"₹1,326",4.5 of 5 bubbles,Mumbai
29. The Regale by Tunga,"₹7,019",4 of 5 bubbles,Mumbai
30. Siesta Andheri Hotel,"₹3,249",4 of 5 bubbles,Mumbai
"Lemon Tree Premier, Mumbai International Airport","₹12,374",4.5 of 5 bubbles,Mumbai
Palm 34,"₹6,191",5 of 5 bubbles,Jaipur
1. Clarks Amer,"₹6,274",4.5 of 5 bubbles,Jaipur
"2. Holiday Inn Jaipur City Centre, an IHG Hotel","₹15,281",4.5 of 5 bubbles,Jaipur
3. Hotel Sarang Palace,"₹2,128",4.5 of 5 bubbles,Jaipur
4. Sarovar Premiere Jaipur,"₹9,026",5 of 5 bubbles,Jaipur
5. The Fern Residency Jaipur,"₹4,334",5 of 5 bubbles,Jaipur
6. Chitra Katha - A Story Per Stay,"₹1,663",4.5 of 5 bubbles,Jaipur
"7. The Fern - An Ecotel Hotel, Jaipur","₹4,561",4.5 of 5 bubbles,Jaipur
8. ibis Jaipur Civil Lines,"₹5,039",4.5 of 5 bubbles,Jaipur
9. Hotel Rajasthan Palace Jaipur,"₹5,580",4.5 of 5 bubbles,Jaipur
10. The Lalit Jaipur,"₹8,258",4.5 of 5 bubbles,Jaipur
Palm 34,"₹6,191",5 of 5 bubbles,Jaipur
11. Jaipur Marriott Hotel,"₹8,850",4.5 of 5 bubbles,Jaipur
12. Regenta Central Jaipur,"₹3,057",5 of 5 bubbles,Jaipur
13. Sarovar Portico Jaipur,"₹3,484",4.5 of 5 bubbles,Jaipur
14. Leisure Inn Grand Chanakya,"₹2,929",4.5 of 5 bubbles,Jaipur
15. Vesta International,"₹3,063",4 of 5 bubbles,Jaipur
16. Ginger Jaipur,"₹3,695",4.5 of 5 bubbles,Jaipur
17. Hilton Jaipur,"₹11,800",4.5 of 5 bubbles,Jaipur
18. Nirwana Hometel Jaipur - A Sarovar Hotel,"₹3,681",4.5 of 5 bubbles,Jaipur
19. Ramada By Wyndham Jaipur North,"₹5,363",4 of 5 bubbles,Jaipur
20. Chokhi Dhani Resort,"₹9,439",4 of 5 bubbles,Jaipur
21. Radisson Blu Hotel Jaipur,"₹10,194",4.5 of 5 bubbles,Jaipur
22. Rani Mahal - A Heritage Hotel,"₹1,232",4.5 of 5 bubbles,Jaipur
23. Park Prime Jaipur,"₹2,791",4 of 5 bubbles,Jaipur
"24. Four Points by Sheraton Jaipur, City Square","₹11,236",4.5 of 5 bubbles,Jaipur
"25. Red Fox Hotel, Jaipur","₹4,758",4.5 of 5 bubbles,Jaipur
"26. Lemon Tree Premier, Jaipur","₹15,609",4.5 of 5 bubbles,Jaipur
27. Krishna Palace,"₹1,691",4 of 5 bubbles,Jaipur
28. Umaid Haveli Hotel and Resorts,"₹10,030",4.5 of 5 bubbles,Jaipur
29. Fort Chandragupt,"₹5,788",3 of 5 bubbles,Jaipur
30. Hotel Jaipur Central,"₹4,018",4 of 5 bubbles,Jaipur
"Ramada Plaza by Wyndham JHV Varanasi, Cantonment","₹15,624",4 of 5 bubbles,Varanasi
1. Stay Banaras,"₹5,095",5 of 5 bubbles,Varanasi
"2. Ramada Plaza by Wyndham JHV Varanasi, Cantonment","₹14,397",4 of 5 bubbles,Varanasi
3. Hotel Tridev,"₹4,173",4.5 of 5 bubbles,Varanasi
4. BrijRama Palace,"₹47,789",5 of 5 bubbles,Varanasi
"5. Taj Ganges, Varanasi","₹17,110",4.5 of 5 bubbles,Varanasi
BrijRama Palace,"₹47,789",5 of 5 bubbles,Varanasi
6. Hotel Temple on Ganges,"₹5,321",4 of 5 bubbles,Varanasi
7. Ganpati Guest House,"₹3,646",4.5 of 5 bubbles,Varanasi
8. Hotel Dolphin International,"₹5,750",4.5 of 5 bubbles,Varanasi
9. Hotel Buddha,"₹6,160",4 of 5 bubbles,Varanasi
10. Hotel Banaras Haveli,"₹4,094",4 of 5 bubbles,Varanasi
"Taj Ganges, Varanasi","₹17,110",4.5 of 5 bubbles,Varanasi
11. Om Vilas Benares,"₹5,672",5 of 5 bubbles,Varanasi
12. The Amayaa,"₹11,079",3.5 of 5 bubbles,Varanasi
13. Hotel Varanasi Inn,"₹3,123",4.5 of 5 bubbles,Varanasi
14. HosteLaVie Varanasi,"₹2,274",4.5 of 5 bubbles,Varanasi
15. Hotel Madin,"₹10,265",4 of 5 bubbles,Varanasi
Hotel Banaras Haveli,"₹4,094",4 of 5 bubbles,Varanasi
16. Hotel Rivera Palace,"₹2,514",4.5 of 5 bubbles,Varanasi
17. Hotel Sita,"₹8,454",4 of 5 bubbles,Varanasi
18. HHI Varanasi,"₹6,224",3 of 5 bubbles,Varanasi
19. Dwivedi Hotels Sri Omkar Palace,"₹7,182",4.5 of 5 bubbles,Varanasi
20. The India Benares,"₹5,824",4 of 5 bubbles,Varanasi
The Amayaa,"₹12,202",3.5 of 5 bubbles,Varanasi
21. Hotel Ganges Grand,"₹6,435",4 of 5 bubbles,Varanasi
22. Moustache Hostel Varanasi,"₹1,105",4.5 of 5 bubbles,Varanasi
23. Hotel Aadesh Palace,"₹3,920",4.5 of 5 bubbles,Varanasi
24. Le Lotus Grand,"₹3,220",4.5 of 5 bubbles,Varanasi
25. Diamond Hotel,"₹8,120",4 of 5 bubbles,Varanasi
Amritara Suryauday Haveli,"₹32,609",4.5 of 5 bubbles,Varanasi
"26. A Palace on the River, Rashmi Guest House","₹2,550",4 of 5 bubbles,Varanasi
"27. The Hideaway Bedzzz, Varanasi","₹5,096",4.5 of 5 bubbles,Varanasi
28. Palace on Ganges,"₹9,132",3 of 5 bubbles,Varanasi
29. Tara Guest House,"₹2,884",4 of 5 bubbles,Varanasi
30. Hotel Bachchan Palace,"₹1,681",4 of 5 bubbles,Varanasi
Hotel Tridev,"₹4,631",4.5 of 5 bubbles,Varanasi
The Holiday Villa Resort & Spa,"₹3,664",5 of 5 bubbles,Manali
1. Sun Park Resort Manali,"₹2,776",4.5 of 5 bubbles,Manali
2. The Orchard Greens Resort & Spa,"₹2,640",5 of 5 bubbles,Manali
3. Renest River Country Resort Manali,"₹4,032",4.5 of 5 bubbles,Manali
4. The Orchard Greens,"₹2,547",4.5 of 5 bubbles,Manali
5. The Orchid Hotel Manali,"₹6,159",5 of 5 bubbles,Manali
6. Snow Valley Resorts,"₹2,803",4.5 of 5 bubbles,Manali
7. The Holiday Villa Resort & Spa,"₹3,664",5 of 5 bubbles,Manali
8. The Manali Inn,"₹12,940",4.5 of 5 bubbles,Manali
9. Woodrock Hotel Manali,"₹5,645",4.5 of 5 bubbles,Manali
10. Grand Krisa Resort And Spa,"₹4,106",5 of 5 bubbles,Manali
The Holiday Villa Resort & Spa,"₹3,664",5 of 5 bubbles,Manali
11. Honeymoon Inn Manali,"₹3,735",4.5 of 5 bubbles,Manali
12. Hotel Mountain Top,"₹2,348",4.5 of 5 bubbles,Manali
13. Holiday Heights & Spa Manali,"₹2,326",5 of 5 bubbles,Manali
14. Manuallaya -The Resort Spa in the Himalayas,"₹7,711",4.5 of 5 bubbles,Manali
15. Hotel Satkar Residency,₹684,4.5 of 5 bubbles,Manali
16. Golden Tulip Manali,"₹2,800",4 of 5 bubbles,Manali
17. PARADISE-The Whitehouse Cafe,"₹5,600",5 of 5 bubbles,Manali
18. Hotel Apple Nest,"₹1,329",4.5 of 5 bubbles,Manali
19. Hotel Smugglers,"₹2,464",5 of 5 bubbles,Manali
20. Hil House Manali,"₹1,064",5 of 5 bubbles,Manali
21. The Himalayan,"₹11,234",4.5 of 5 bubbles,Manali
22. Manali Heights,"₹3,729",4 of 5 bubbles,Manali
23. Piccadily Manali,"₹3,811",3.5 of 5 bubbles,Manali
24. Hotel Himalayan Heights,"₹3,091",4.5 of 5 bubbles,Manali
25. Shingar Regency,"₹3,243",4.5 of 5 bubbles,Manali
26. Hotel Hadimba Palace,"₹2,097",3.5 of 5 bubbles,Manali
27. Hotel Snow View Manali,"₹2,786",4 of 5 bubbles,Manali
28. LE GRAND,"₹1,568",4 of 5 bubbles,Manali
29. Apple Country Resort,"₹1,07,665",4.5 of 5 bubbles,Manali
30. Hotel Meadows,,5 of 5 bubbles,Manali
Pullman New Delhi Aerocity,"₹21,830",5 of 5 bubbles,New Delhi
1. Radisson Blu Plaza Delhi Airport,"₹21,143",4.5 of 5 bubbles,New Delhi
2. The Lalit New Delhi,"₹18,880",4.5 of 5 bubbles,New Delhi
3. Hotel Novotel New Delhi Aerocity,"₹18,290",4.5 of 5 bubbles,New Delhi
4. ibis New Delhi Aerocity,"₹15,455",4 of 5 bubbles,New Delhi
5. The Muse Sarovar Portico New Delhi Kapashera,"₹19,603",5 of 5 bubbles,New Delhi
6. Radisson Blu Hotel New Delhi Paschim Vihar,"₹11,800",4.5 of 5 bubbles,New Delhi
7. Eros Hotel,"₹19,210",4.5 of 5 bubbles,New Delhi
"8. Lemon Tree Premier, Delhi Airport","₹20,170",4.5 of 5 bubbles,New Delhi
"9. Welcomhotel By ITC Hotels, Dwarka","₹13,340",4.5 of 5 bubbles,New Delhi
10. Hotel The Royal Plaza,"₹12,980",4 of 5 bubbles,New Delhi
Radisson Blu Plaza Delhi Airport,"₹21,143",4.5 of 5 bubbles,New Delhi
11. Pullman New Delhi Aerocity,"₹21,830",5 of 5 bubbles,New Delhi
12. The Park New Delhi,"₹19,056",4 of 5 bubbles,New Delhi
"13. Red Fox Hotel, Delhi Airport","₹10,913",4.5 of 5 bubbles,New Delhi
14. Hotel Hari Piorko,"₹2,744",4 of 5 bubbles,New Delhi
15. Hotel Ajanta,"₹3,961",4 of 5 bubbles,New Delhi
Pullman New Delhi Aerocity,"₹21,830",5 of 5 bubbles,New Delhi
16. Radisson Blu Marina Connaught Place,"₹16,869",4 of 5 bubbles,New Delhi
17. The Metropolitan Hotel & Spa,"₹14,750",4 of 5 bubbles,New Delhi
18. Hotel Meridian Plaza,"₹2,970",4.5 of 5 bubbles,New Delhi
19. Bloomrooms @ New Delhi Railway Station,"₹5,141",4.5 of 5 bubbles,New Delhi
20. Ramada by Wyndham New Delhi Pitampura,"₹6,171",4.5 of 5 bubbles,New Delhi
21. Jaypee Siddharth,"₹11,706",4.5 of 5 bubbles,New Delhi
22. Hotel Le Roi Delhi,"₹1,910",4 of 5 bubbles,New Delhi
23. The Ashtan Sarovar Portico,"₹6,753",4 of 5 bubbles,New Delhi
24. Hyatt Centric Janakpuri New Delhi,"₹12,980",4 of 5 bubbles,New Delhi
25. Hotel Pink City,"₹1,242",4.5 of 5 bubbles,New Delhi
"Holiday Inn New Delhi Int'L Airport, an IHG Hotel","₹21,357",4.5 of 5 bubbles,New Delhi
26. Hotel Delhi Aerocity,"₹1,898",4 of 5 bubbles,New Delhi
"27. Foxoso Hotel, Delhi Airport","₹4,189",4 of 5 bubbles,New Delhi
28. Roseate House,"₹40,804",5 of 5 bubbles,New Delhi
"29. Taj Palace, New Delhi","₹29,500",4.5 of 5 bubbles,New Delhi
30. IIDL Suites New Delhi,"₹29,701",4 of 5 bubbles,New Delhi
Vedic Village Spa Resort,"₹9,317",4 of 5 bubbles,Kolkata
1. Polo Floatel Kolkata,"₹5,059",5 of 5 bubbles,Kolkata
2. The Park Kolkata,"₹9,416",4.5 of 5 bubbles,Kolkata
3. The Oberoi Grand,"₹12,390",5 of 5 bubbles,Kolkata
"4. Holiday Inn Kolkata Airport, an IHG Hotel","₹6,810",4.5 of 5 bubbles,Kolkata
5. The Lalit Great Eastern Kolkata,"₹9,440",5 of 5 bubbles,Kolkata
Novotel Kolkata Hotel and Residences,"₹9,440",4.5 of 5 bubbles,Kolkata
"6. Lemon Tree Premier, New Town, Kolkata","₹6,576",5 of 5 bubbles,Kolkata
7. Howard Johnson by Wyndham Kolkata,"₹5,483",4.5 of 5 bubbles,Kolkata
8. The Westin Kolkata Rajarhat,"₹10,620",5 of 5 bubbles,Kolkata
9. Ibis Kolkata Rajarhat,"₹3,919",4.5 of 5 bubbles,Kolkata
10. Novotel Kolkata Hotel and Residences,"₹9,440",4.5 of 5 bubbles,Kolkata
Howard Johnson by Wyndham Kolkata,"₹4,807",4.5 of 5 bubbles,Kolkata
11. The Peerless Inn,"₹5,271",4 of 5 bubbles,Kolkata
12. Pride Plaza Hotel Kolkata,"₹5,600",4.5 of 5 bubbles,Kolkata
13. Senses Hotel,"₹6,795",4.5 of 5 bubbles,Kolkata
"14. Holiday Inn Express Kolkata Airport, an IHG Hotel","₹6,159",5 of 5 bubbles,Kolkata
15. Taj City Centre New Town,"₹10,620",4.5 of 5 bubbles,Kolkata
"16. ITC Royal Bengal, a Luxury Collection Hotel, Kolkata","₹14,160",5 of 5 bubbles,Kolkata
17. Vedic Village Spa Resort,"₹8,325",4 of 5 bubbles,Kolkata
18. Siamton Inn,"₹4,634",4.5 of 5 bubbles,Kolkata
19. The Lindsay,"₹4,117",3.5 of 5 bubbles,Kolkata
20. Ethnotel,"₹5,376",4 of 5 bubbles,Kolkata
The Park Kolkata,"₹9,416",4.5 of 5 bubbles,Kolkata
21. Monotel - Luxury Business Hotel,"₹4,155",4.5 of 5 bubbles,Kolkata
22. Park Prime Kolkata,"₹4,366",4 of 5 bubbles,Kolkata
23. Kempton Hotel,"₹5,885",4 of 5 bubbles,Kolkata
24. Hotel Aston International,"₹2,231",4 of 5 bubbles,Kolkata
25. Regenta Inn Larica,"₹2,441",4 of 5 bubbles,Kolkata
The Lalit Great Eastern Kolkata,"₹9,440",5 of 5 bubbles,Kolkata
26. Townhouse OAK Hotel Radiant,"₹3,687",4 of 5 bubbles,Kolkata
27. Zone By The Park Kolkata,"₹3,709",4 of 5 bubbles,Kolkata
"28. The Elgin Fairlawn, Kolkata","₹8,400",4 of 5 bubbles,Kolkata
29. The Moira Bed and Breakfast,"₹6,160",5 of 5 bubbles,Kolkata
30. Palm Village Resort,"₹1,635",3 of 5 bubbles,Kolkata
Ibis Kolkata Rajarhat,"₹3,919",4.5 of 5 bubbles,Kolkata
"Vivanta Chennai, IT Expressway","₹7,560",4.5 of 5 bubbles,Chennai
1. Grand Chennai By GRT Hotels,"₹8,310",4.5 of 5 bubbles,Chennai
2. The Park Chennai,"₹7,182",4.5 of 5 bubbles,Chennai
3. The Leela Palace Chennai,"₹13,050",5 of 5 bubbles,Chennai
4. Accord Chrome,"₹4,878",5 of 5 bubbles,Chennai
5. Novotel Chennai Sipcot,"₹4,978",5 of 5 bubbles,Chennai
GreenPark Chennai,"₹8,209",5 of 5 bubbles,Chennai
6. Hyatt Regency Chennai,"₹10,088",4.5 of 5 bubbles,Chennai
7. The Residency Towers Chennai,"₹9,418",4.5 of 5 bubbles,Chennai
8. ibis Chennai Sipcot Hotel,"₹3,359",4.5 of 5 bubbles,Chennai
"9. The Raintree Hotel, St.Mary's","₹7,565",4.5 of 5 bubbles,Chennai
10. The Accord Metropolitan,"₹7,889",4.5 of 5 bubbles,Chennai
Novotel Chennai Sipcot,"₹4,978",5 of 5 bubbles,Chennai
11. Novotel Chennai Chamiers Road,"₹7,832",5 of 5 bubbles,Chennai
"12. Vivanta Chennai, IT Expressway","₹7,560",4.5 of 5 bubbles,Chennai
13. GreenPark Chennai,"₹7,571",5 of 5 bubbles,Chennai
14. Clarion Hotel President,"₹5,152",4 of 5 bubbles,Chennai
15. Citadines OMR Chennai,"₹4,760",4.5 of 5 bubbles,Chennai
"Welcomhotel by ITC Hotels, Cathedral Road, Chennai","₹7,784",4.5 of 5 bubbles,Chennai
16. The Residency,"₹5,017",4.5 of 5 bubbles,Chennai
17. Radisson Blu Hotel Chennai City Centre,"₹8,344",4.5 of 5 bubbles,Chennai
18. Hotel Southern Comfort,"₹4,112",4 of 5 bubbles,Chennai
19. E Hotel,"₹6,159",4.5 of 5 bubbles,Chennai
20. La Woods Hotel,"₹4,312",4.5 of 5 bubbles,Chennai
The Kings Park Grand,"₹4,083",3.5 of 5 bubbles,Chennai
21. Raj Park Chennai,"₹2,979",3.5 of 5 bubbles,Chennai
22. Taj Club House,"₹7,056",4.5 of 5 bubbles,Chennai
23. Harrisons Hotel,"₹3,149",3.5 of 5 bubbles,Chennai
24. ibis Chennai OMR,"₹3,580",4.5 of 5 bubbles,Chennai
25. VGP Golden Beach Resort,"₹4,641",3 of 5 bubbles,Chennai
Taj Club House,"₹7,056",4.5 of 5 bubbles,Chennai
26. Taj Wellington Mews Chennai,"₹7,280",4.5 of 5 bubbles,Chennai
27. The Lotus Hotel Sameera,"₹4,536",4 of 5 bubbles,Chennai
28. Hotel Park Elanza Nungambakkam,"₹5,039",4 of 5 bubbles,Chennai
29. Fortel,"₹4,598",3.5 of 5 bubbles,Chennai
30. The Kings Park Grand,"₹3,773",3.5 of 5 bubbles,Chennai
The Raintree Hotel Anna Salai,"₹7,838",4.5 of 5 bubbles,Chennai
Welcomhotel By ITC Hotels Shimla,"₹12,980",5 of 5 bubbles,Shimla
1. Snow Valley Heights,"₹5,022",5 of 5 bubbles,Shimla
2. Larisa Shimla,"₹6,048",5 of 5 bubbles,Shimla
"3. The Oberoi Cecil, Shimla","₹15,340",5 of 5 bubbles,Shimla
4. Welcomhotel By ITC Hotels Shimla,"₹12,980",5 of 5 bubbles,Shimla
5. Marigold Sarovar Portico Shimla,"₹4,367",4.5 of 5 bubbles,Shimla
Radisson Jass Shimla,"₹10,030",4 of 5 bubbles,Shimla
6. Snow Valley Resorts,"₹4,659",4.5 of 5 bubbles,Shimla
7. The Orchid Shimla,"₹6,303",5 of 5 bubbles,Shimla
8. The Manor Luxury Service Apartments,"₹10,531",5 of 5 bubbles,Shimla
9. Hotel Silverine,"₹2,847",4 of 5 bubbles,Shimla
10. Clarkes Hotel,"₹9,735",4.5 of 5 bubbles,Shimla
Snow Valley Heights,"₹5,286",5 of 5 bubbles,Shimla
11. Honeymoon Inn Shimla,"₹5,376",4.5 of 5 bubbles,Shimla
12. Shimla British Resort,"₹3,104",4 of 5 bubbles,Shimla
13. Hotel Willow Banks,"₹7,755",4 of 5 bubbles,Shimla
14. Hotel Combermere,"₹5,608",4 of 5 bubbles,Shimla
15. Woodville Palace Hotel,"₹4,676",3.5 of 5 bubbles,Shimla
East Bourne Resort & Spa,"₹16,302",4 of 5 bubbles,Shimla
16. The Bodhi Tree BNB,"₹2,490",4.5 of 5 bubbles,Shimla
17. Ashiana Clarks Inn,"₹2,946",4 of 5 bubbles,Shimla
18. HPTDC Hotel Holiday Home,"₹2,900",3.5 of 5 bubbles,Shimla
19. Hotel Baljees Regency,"₹4,175",4.5 of 5 bubbles,Shimla
20. Royale Retreat,"₹5,723",4.5 of 5 bubbles,Shimla
Honeymoon Inn Shimla,"₹5,376",4.5 of 5 bubbles,Shimla
21. The Legacy Shimla,"₹2,569",3.5 of 5 bubbles,Shimla
22. Koti Resort,"₹3,780",4 of 5 bubbles,Shimla
"23. Summit Le Royale Hotel, Shimla","₹3,902",4.5 of 5 bubbles,Shimla
"24. The Hosteller Kufri, Shimla","₹1,783",4.5 of 5 bubbles,Shimla
25. Treebo Trend Varuna,"₹3,098",3.5 of 5 bubbles,Shimla
Snow Valley Resorts,"₹4,201",4.5 of 5 bubbles,Shimla
26. The Cedar Grand Hotel & Spa,"₹7,660",4 of 5 bubbles,Shimla
27. Aachman Nature Valley Resort,"₹2,015",4 of 5 bubbles,Shimla
28. Hotel Himalayan Escape,"₹1,862",4 of 5 bubbles,Shimla
29. Hotel Windsor,"₹2,107",4 of 5 bubbles,Shimla
30. Hotel Chaman Palace,"₹1,240",3.5 of 5 bubbles,Shimla
Hotel Marina,"₹12,744",4 of 5 bubbles,Shimla
"ITC Gardenia, a Luxury Collection Hotel, Bengaluru","₹29,430",5 of 5 bubbles,Bengaluru
1. Davanam Sarovar Portico Suites,"₹6,247",4.5 of 5 bubbles,Bengaluru
2. Angsana Oasis Spa & Resort,"₹10,726",4.5 of 5 bubbles,Bengaluru
3. Hotel Royal Orchid Bangalore,"₹11,084",4.5 of 5 bubbles,Bengaluru
4. Palm Meadows Resort,"₹10,767",4.5 of 5 bubbles,Bengaluru
5. Royal Orchid Resort & Convention Centre,"₹13,443",4.5 of 5 bubbles,Bengaluru
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru","₹17,228",4.5 of 5 bubbles,Bengaluru
6. The Lalit Ashok,"₹12,574",4.5 of 5 bubbles,Bengaluru
"7. Sarovar Portico Outer Ring Road, Bengaluru","₹4,842",5 of 5 bubbles,Bengaluru
"8. Radisson Blu Hotel, Bengaluru Outer Ring Road","₹12,319",4.5 of 5 bubbles,Bengaluru
9. Grand Mercure Bengaluru at Gopalan Mall,"₹16,461",5 of 5 bubbles,Bengaluru
10. The Chancery Pavilion,"₹22,302",4 of 5 bubbles,Bengaluru
11. The Park Bangalore,"₹17,464",4.5 of 5 bubbles,Bengaluru
12. Royal Orchid Central,"₹12,462",4.5 of 5 bubbles,Bengaluru
"13. Lemon Tree Hotel, Whitefield, Bengaluru","₹14,991",4.5 of 5 bubbles,Bengaluru
14. Olive Whitefield By Embassy Group,"₹3,359",5 of 5 bubbles,Bengaluru
15. Wonderla Resort,"₹6,720",4.5 of 5 bubbles,Bengaluru
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru","₹17,228",4.5 of 5 bubbles,Bengaluru
16. Signature Club Resort,"₹6,113",4.5 of 5 bubbles,Bengaluru
17. Svenska Design Hotel,"₹4,951",4.5 of 5 bubbles,Bengaluru
18. Gokulam Grand Hotel & Spa,"₹7,335",4.5 of 5 bubbles,Bengaluru
19. ibis Bengaluru City Centre,"₹8,298",4.5 of 5 bubbles,Bengaluru
20. Bloom Hotel - Bengaluru Airport,"₹4,469",5 of 5 bubbles,Bengaluru
"The Ritz-Carlton, Bangalore","₹79,945",4.5 of 5 bubbles,Bengaluru
21. Our Native Village Eco Resort,"₹6,854",4 of 5 bubbles,Bengaluru
22. The Windflower Prakruthi Bangalore,"₹10,170",4 of 5 bubbles,Bengaluru
23. Holiday Village,"₹3,621",4 of 5 bubbles,Bengaluru
24. The Waverly Hotel & Residences,"₹5,809",4.5 of 5 bubbles,Bengaluru
25. Shivas Gateway,"₹2,694",4 of 5 bubbles,Bengaluru
"ITC Gardenia, a Luxury Collection Hotel, Bengaluru","₹29,430",5 of 5 bubbles,Bengaluru
