R_name,R_rating,location
Goofa Ashiana Restaurant,3.5,Shimla
Hotel Combermere,4.0,Shimla
The EBR Cafe kitchen,5.0,Shimla
The Devicos,4.0,Shimla
Skybar Rooftop Bar Herbal Hookah Lounge,4.5,Shimla
Moti Mahal Delux Restaurant,4.5,Shimla
La Pinoz Pizza,4.0,Shimla
Tripti Restaurant,4.0,Shimla
Sher E Punjab,3.5,Shimla
Auntys Kitchen,4.0,Shimla
Cafe,4.5,Shimla
Bombay Bites BSquare Veg Nonveg Restaurant,4.0,Shimla
Amayaa,5.0,Shimla
Alfa Restaurant,3.5,Shimla
Scandal Delights,4.0,Shimla
PizzaDotCom Shimla,5.0,Shimla
Time Traveller,5.0,Bengaluru
Byg Brewski Brewing Company,4.5,Bengaluru
Ounces,5.0,Bengaluru
Tiamo,5.0,Bengaluru
Kebabs Kurries,5.0,Bengaluru
The Creek,5.0,Bengaluru
Karavalli Taj,4.5,Bengaluru
One Atria Cafe,5.0,Bengaluru
Lush,5.0,Bengaluru
Indian Durbar,5.0,Bengaluru
Lotus Pavilion,5.0,Bengaluru
Cubbon Pavilion,5.0,Bengaluru
Ssaffron,5.0,Bengaluru
The Bengaluru Brasserie,5.0,Bengaluru
Dublin,5.0,Bengaluru
Shang Palace,5.0,Bengaluru
The Raj Pavilion,5.0,Bengaluru
The Whiskey Bar,5.0,Bengaluru
Tamarind,5.0,Bengaluru
Spice Terrace,4.5,Bengaluru
Dum Pukht Jolly Nabobs,5.0,Bengaluru
Layla,5.0,Bengaluru
WBG Whitefield Bar and Grill,5.0,Bengaluru
Red Rhino Craft Brewery and Inspired Kitchen,4.5,Bengaluru
Mikusu,5.0,Bengaluru
Caraway Kitchen,5.0,Bengaluru
Dakshin,5.0,Bengaluru
Uppercut,5.0,Bengaluru
Saffron,5.0,Bengaluru
The Royal Afghan,5.0,Bengaluru
Ascot Multi Cuisine Restaurant at Ooty,5.0,Ooty
Le Cafe,5.0,Ooty
Earls Secret,4.5,Ooty
The Periodic Table,5.0,Ooty
Cliff Top,4.5,Ooty
Savoy IHCL SeleQtionsOoty Dining room,4.0,Ooty
Hotel Pankaj Bhojanalaya,4.0,Ooty
Hyderabad Biryani House,4.0,Ooty
Adayar Ananda Bhavan,4.0,Ooty
Angaara,4.5,Ooty
cocoapods,4.5,Ooty
Nahar Sidewalk Cafe,3.5,Ooty
Hyderabad Briyani House,4.0,Ooty
Willys Coffee Pub,4.5,Ooty
Ponmari Multicuisine Restaurant,4.0,Ooty
Pakwan India,4.5,Ooty
Hotel Junior Kuppanna Authentic NonVeg Kongu Style,4.0,Ooty
Jade Garden Chinese Restaurant,4.5,Ooty
Seasons,5.0,Ooty
Hotel Blue Hills Restaurant,4.0,Ooty
Nahar Residency Hotel Restaurant,3.5,Ooty
Cafe Coffee Day,4.0,Ooty
Kailash Parbat,4.5,Ooty
Ooty Coffee House,4.0,Ooty
The Garden Cafe,4.0,Ooty
Dominos Pizza,3.5,Ooty
Toda Cafe,4.0,Ooty
Hotel Coonoor Ramachandra Restaurant,4.0,Ooty
Jothi Vilas,4.0,Ooty
Quality Restaurant,3.5,Ooty
Cafe LakeSide,5.0,Nainital
Zoobys Kitchen,4.5,Nainital
Brittneys Cafe and Restaurant,5.0,Nainital
Giannis Pure Veg,4.5,Nainital
Sakleys Restaurant Pastry Shop,4.0,Nainital
Machan Restaurant,4.0,Nainital
Cafe Chica,4.5,Nainital
SherePunjab,4.0,Nainital
Nanak Restaurant,4.0,Nainital
Shiva Vegetarian Restaurant,4.5,Nainital
Embassy,3.5,Nainital
Chandani Chowk,4.0,Nainital
Honey Hut,4.0,Nainital
The Cask Cafe Bar,5.0,Nainital
Anupam Restaurant,4.5,Nainital
Pots Stones Cafe,4.0,Nainital
the Dhaba by Royal Kitchen,4.0,Nainital
Bakers Hut,4.0,Nainital
Purohit,3.5,Nainital
ShanEPunjab,4.0,Nainital
Muskotia Food,5.0,Nainital
Simz Cafe,4.5,Nainital
Saraswati Restaurant,4.5,Nainital
Dominos,4.0,Nainital
Cafe de Mall,4.0,Nainital
Neelesh Inn,4.0,Nainital
Green Oak Restaurant,5.0,Nainital
