H_name,H_price,H_rating,location
Amritara Suryauday Haveli,32609,4.5,Varanasi
A Palace on the River Rashmi Guest House,2550,4.0,Varanasi
The Hideaway Bedzzz Varanasi,5096,4.5,Varanasi
Palace on Ganges,9132,3.0,Varanasi
Tara Guest House,2884,4.0,Varanasi
Hotel Bachchan Palace,1681,4.0,Varanasi
Hotel Tridev,4631,4.5,Varanasi
The Holiday Villa Resort Spa,3664,5.0,Manali
Sun Park Resort Manali,2776,4.5,Manali
The Orchard Greens Resort Spa,2640,5.0,Manali
Renest River Country Resort Manali,4032,4.5,Manali
The Orchard Greens,2547,4.5,Manali
The Orchid Hotel Manali,6159,5.0,Manali
Snow Valley Resorts,2803,4.5,Manali
The Holiday Villa Resort Spa,3664,5.0,Manali
The Manali Inn,12940,4.5,Manali
Woodrock Hotel Manali,5645,4.5,Manali
Grand Krisa Resort And Spa,4106,5.0,Manali
The Holiday Villa Resort Spa,3664,5.0,Manali
Honeymoon Inn Manali,3735,4.5,Manali
Hotel Mountain Top,2348,4.5,Manali
Holiday Heights Spa Manali,2326,5.0,Manali
Manuallaya The Resort Spa in the Himalayas,7711,4.5,Manali
Hotel Satkar Residency,684,4.5,Manali
Golden Tulip Manali,2800,4.0,Manali
PARADISEThe Whitehouse Cafe,5600,5.0,Manali
Hotel Apple Nest,1329,4.5,Manali
Hotel Smugglers,2464,5.0,Manali
Hil House Manali,1064,5.0,Manali
The Himalayan,11234,4.5,Manali
Manali Heights,3729,4.0,Manali
Piccadily Manali,3811,3.5,Manali
Hotel Himalayan Heights,3091,4.5,Manali
Shingar Regency,3243,4.5,Manali
Hotel Hadimba Palace,2097,3.5,Manali
Hotel Snow View Manali,2786,4.0,Manali
LE GRAND,1568,4.0,Manali
Apple Country Resort,107665,4.5,Manali
Hotel Meadows,,5.0,Manali
Pullman New Delhi Aerocity,21830,5.0,New Delhi
Radisson Blu Plaza Delhi Airport,21143,4.5,New Delhi
The Lalit New Delhi,18880,4.5,New Delhi
Hotel Novotel New Delhi Aerocity,18290,4.5,New Delhi
ibis New Delhi Aerocity,15455,4.0,New Delhi
The Muse Sarovar Portico New Delhi Kapashera,19603,5.0,New Delhi
Radisson Blu Hotel New Delhi Paschim Vihar,11800,4.5,New Delhi
Eros Hotel,19210,4.5,New Delhi
Lemon Tree Premier Delhi Airport,20170,4.5,New Delhi
Welcomhotel By ITC Hotels Dwarka,13340,4.5,New Delhi
Hotel The Royal Plaza,12980,4.0,New Delhi
Radisson Blu Plaza Delhi Airport,21143,4.5,New Delhi
Pullman New Delhi Aerocity,21830,5.0,New Delhi
The Park New Delhi,19056,4.0,New Delhi
Red Fox Hotel Delhi Airport,10913,4.5,New Delhi
Hotel Hari Piorko,2744,4.0,New Delhi
Hotel Ajanta,3961,4.0,New Delhi
Pullman New Delhi Aerocity,21830,5.0,New Delhi
Radisson Blu Marina Connaught Place,16869,4.0,New Delhi
The Metropolitan Hotel Spa,14750,4.0,New Delhi
Hotel Meridian Plaza,2970,4.5,New Delhi
Bloomrooms New Delhi Railway Station,5141,4.5,New Delhi
Ramada by Wyndham New Delhi Pitampura,6171,4.5,New Delhi
Jaypee Siddharth,11706,4.5,New Delhi
Hotel Le Roi Delhi,1910,4.0,New Delhi
The Ashtan Sarovar Portico,6753,4.0,New Delhi
Hyatt Centric Janakpuri New Delhi,12980,4.0,New Delhi
Hotel Pink City,1242,4.5,New Delhi
Holiday Inn New Delhi IntL Airport an IHG Hotel,21357,4.5,New Delhi
Hotel Delhi Aerocity,1898,4.0,New Delhi
Foxoso Hotel Delhi Airport,4189,4.0,New Delhi
Roseate House,40804,5.0,New Delhi
Taj Palace New Delhi,29500,4.5,New Delhi
IIDL Suites New Delhi,29701,4.0,New Delhi
Vedic Village Spa Resort,9317,4.0,Kolkata
Polo Floatel Kolkata,5059,5.0,Kolkata
The Park Kolkata,9416,4.5,Kolkata
The Oberoi Grand,12390,5.0,Kolkata
Holiday Inn Kolkata Airport an IHG Hotel,6810,4.5,Kolkata
The Lalit Great Eastern Kolkata,9440,5.0,Kolkata
Novotel Kolkata Hotel and Residences,9440,4.5,Kolkata
Lemon Tree Premier New Town Kolkata,6576,5.0,Kolkata
Howard Johnson by Wyndham Kolkata,5483,4.5,Kolkata
The Westin Kolkata Rajarhat,10620,5.0,Kolkata
Ibis Kolkata Rajarhat,3919,4.5,Kolkata
Novotel Kolkata Hotel and Residences,9440,4.5,Kolkata
Howard Johnson by Wyndham Kolkata,4807,4.5,Kolkata
The Peerless Inn,5271,4.0,Kolkata
Pride Plaza Hotel Kolkata,5600,4.5,Kolkata
Senses Hotel,6795,4.5,Kolkata
